name;category;B/AA
Chamaedaphne calyculata;Boreal;B
Chamorchis alpina;Alp;AA
Chenopodium suecicum;Boreal;B
Cherleria biflora;Arc-alp;AA
Chimaphila umbellata;Boreal;B
Chrysosplenium tetrandrum;Boreal;B
Cicerbita alpina;Boreal;B
Cicuta virosa;Boreal;B
Cinna latifolia;Boreal;B
Circaea alpina;Boreal;B
Cirsium arvense;Boreal;B
Cirsium heterophyllum;Boreal;B
Cirsium palustre;Boreal;B
Cirsium vulgare;Boreal;B
Comarum palustre;Boreal;B
Comastoma tenellum;Arc-alp;AA
Conioselinum tataricum;Arc-alp;AA
Convallaria majalis;Boreal;B
Corallorhiza trifida;Boreal;B
